Prospect ID,Lead Number,Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Tags,Lead Quality,Update me on Supply Chain Content,Get updates on DM Content,Lead Profile,City,Asymmetrique Activity Index,Asymmetrique Profile Index,Asymmetrique Activity Score,Asymmetrique Profile Score,I agree to pay the amount through cheque,A free copy of Mastering The Interview,Last Notable Activity,first_name,last_name,email,phone_number,address,state,postal_code,age
8b94b8c4-7107-4c12-8a66-531d0ed974c4,615582,Landing Page Submission,Google,No,No,1,8.0,252,2.67,Email Opened,India,Finance Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,,No,No,Select,Mumbai,,,,,No,Yes,Email Opened,Kenneth,Stephens,clifforddavis@example.com,(434)311-2392,00749 Castillo Curve,Iowa,91714,61
a4c0a4e4-c5d8-4e48-8a4f-030611dde534,588939,Landing Page Submission,Direct Traffic,Yes,No,0,2.0,929,2.0,Email Bounced,India,Marketing Management,,,,No,No,No,No,No,No,No,No,,,No,No,,Other Cities,02.Medium,02.Medium,14.0,16.0,No,Yes,Modified,Tammy,Wilson,michael47@example.org,877.849.8266,3775 George Glen,New Hampshire,39285,24
889c23c8-84d0-4936-97ad-7b438dc2e2d7,621242,Landing Page Submission,Direct Traffic,Yes,No,0,1.0,2,1.0,Email Bounced,India,,,Student,,No,No,No,No,No,No,No,No,,,No,No,,Other Cities,,,,,No,No,Modified,Sally,Fields,hhodge@example.org,902-657-7998x5693,4770 Mary Dam Apt. 203,Oregon,78589,20
85dfdbea-fb6c-4428-a59c-59155bedea4a,589803,Landing Page Submission,Direct Traffic,No,No,0,2.0,323,2.0,Email Opened,India,Select,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Select,Mumbai,02.Medium,01.High,14.0,18.0,No,No,Email Opened,Alexis,Hill,tjones@example.org,(771)970-6775x4664,11065 Cowan Mall,Colorado,91611,25
cbc292d8-752f-47ea-92c6-07d4247638d5,651441,Landing Page Submission,Google,No,No,0,3.0,201,3.0,Email Opened,India,Marketing Management,Online Search,,,No,No,No,No,No,No,No,No,,,No,No,,Mumbai,02.Medium,01.High,13.0,18.0,No,No,Email Opened,Scott,Black,elizabeth47@example.com,660-374-6226x89839,1502 Cain Squares Suite 070,Colorado,07490,68
4bae149e-3b30-4262-8f78-50685d52125b,650484,API,Google,No,No,0,3.0,388,1.5,Olark Chat Conversation,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Select,01.High,02.Medium,17.0,15.0,No,No,Olark Chat Conversation,David,Espinoza,johnroberts@example.com,627-631-3588x5646,52041 Allison Lock,Florida,15394,35
352e5985-f3f2-4188-943c-332ca95e8d09,657038,API,Referral Sites,No,No,1,5.0,1536,5.0,Email Opened,India,Human Resource Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Thane & Outskirts,02.Medium,02.Medium,14.0,15.0,No,No,Email Opened,Michael,Johnston,ajones@example.org,+1-962-951-7194x09456,46383 Rivera Roads Apt. 632,Alabama,60811,52
ce68ad09-cc22-4a59-bf1f-dafdb572d1af,649329,Landing Page Submission,Direct Traffic,No,No,0,7.0,219,2.33,Email Link Clicked,United Arab Emirates,Human Resource Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Select,Other Cities,02.Medium,02.Medium,14.0,16.0,No,Yes,Email Link Clicked,James,Walker,rileyrebecca@example.org,+1-757-901-0901x94335,5889 Andrew Terrace,South Carolina,62148,61
18a900d2-86e2-4e4a-b475-70ee71a2867e,587559,Landing Page Submission,Direct Traffic,No,No,0,2.0,24,2.0,SMS Sent,India,Finance Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,switched off,,No,No,Select,Mumbai,02.Medium,01.High,14.0,18.0,No,Yes,SMS Sent,Joshua,May,marymurray@example.com,001-898-489-1374x7329,3533 Allison Forks Suite 525,Massachusetts,70705,64
44efc6d4-fdfd-4638-bf55-38da6818f911,643897,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,,Human Resource Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,02.Medium,01.High,15.0,19.0,No,No,Modified,Elizabeth,Zimmerman,jordan68@example.org,(659)258-2865,10948 Jennifer Key Suite 629,Oregon,32415,69
